time [µs]	Amp[V]	HF [V]	TGC [dB]
44,8	0,013	0,012	10,551
44,9	0,010	0,004	10,551
45,0	0,006	-0,004	10,551
45,1	0,004	-0,004	10,551
45,2	0,004	-0,004	10,551
45,3	0,005	-0,004	10,551
45,4	0,006	0,004	10,551
45,5	0,005	-0,004	10,551
45,6	0,005	0,004	10,551
45,7	0,005	0,004	10,551
45,8	0,005	0,004	10,551
45,9	0,006	-0,004	10,551
46,0	0,006	-0,004	10,551
46,1	0,005	-0,004	10,551
46,2	0,005	0,004	10,551
46,3	0,005	0,004	10,551
46,4	0,006	0,004	10,551
46,5	0,006	0,004	10,709
46,6	0,006	-0,004	10,709
46,7	0,006	-0,004	10,551
46,8	0,005	-0,004	10,709
46,9	0,004	-0,004	10,709
47,0	0,004	-0,004	10,551
47,1	0,005	-0,004	10,709
47,2	0,006	0,004	10,709
47,3	0,006	0,004	10,551
47,4	0,006	0,004	10,551
47,5	0,005	-0,004	10,551
47,6	0,005	-0,004	10,551
47,7	0,004	-0,004	10,709
47,8	0,005	0,004	10,709
47,9	0,005	-0,004	10,709
48,0	0,006	0,004	10,709
48,1	0,006	0,004	10,709
48,2	0,006	-0,004	10,709
48,3	0,005	-0,004	10,709
48,4	0,004	-0,004	10,709
48,5	0,004	-0,004	10,709
48,6	0,005	0,004	10,709
48,7	0,007	0,004	10,709
48,8	0,009	-0,004	10,709
48,9	0,010	-0,012	10,709
49,0	0,011	-0,004	10,709
49,1	0,011	0,004	10,709
49,2	0,012	0,012	10,709
49,3	0,013	0,004	10,709
49,4	0,014	-0,012	10,709
49,5	0,013	-0,012	10,709
49,6	0,012	0,004	10,709
49,7	0,011	0,004	10,709
49,8	0,009	0,012	10,709
49,9	0,008	0,004	10,709
50,0	0,007	-0,004	10,709
50,1	0,006	-0,004	10,709
50,2	0,005	-0,004	10,709
50,3	0,004	-0,004	10,709
50,4	0,004	0,004	10,709
50,5	0,005	0,004	10,709
50,6	0,006	0,004	10,866
50,7	0,007	0,004	10,866
50,8	0,006	-0,004	10,866
50,9	0,005	-0,004	10,709
51,0	0,004	-0,004	10,709
51,1	0,005	-0,004	10,709
51,2	0,006	-0,004	10,709
51,3	0,007	0,004	10,866
51,4	0,007	0,004	10,866
51,5	0,005	-0,004	10,709
51,6	0,004	0,004	10,866
51,7	0,004	-0,004	10,866
51,8	0,005	0,004	10,866
51,9	0,006	0,004	10,866
52,0	0,006	0,004	10,866
52,1	0,006	-0,004	10,866
52,2	0,005	-0,004	10,866
52,3	0,005	-0,004	10,709
52,4	0,005	-0,004	10,709
52,5	0,006	0,004	10,866
52,6	0,006	0,004	10,866
52,7	0,006	-0,004	10,709
52,8	0,005	0,004	10,866
52,9	0,005	-0,004	10,866
53,0	0,004	-0,004	10,866
53,1	0,005	-0,004	10,866
53,2	0,005	0,004	10,866
53,3	0,005	-0,004	10,866
53,4	0,005	0,004	10,866
53,5	0,006	0,004	10,866
53,6	0,006	-0,004	10,866
53,7	0,006	-0,004	10,866
53,8	0,006	0,004	10,866
53,9	0,005	-0,004	10,866
54,0	0,005	-0,004	10,866
54,1	0,005	0,004	10,866
54,2	0,006	0,004	10,866
54,3	0,006	0,004	10,866
54,4	0,006	0,004	11,024
54,5	0,006	-0,004	10,866
54,6	0,005	-0,004	11,024
54,7	0,005	-0,004	10,866
54,8	0,005	-0,004	10,866
54,9	0,005	-0,004	10,866
55,0	0,005	0,004	10,866
55,1	0,004	-0,004	10,866
55,2	0,004	0,004	10,866
55,3	0,004	-0,004	10,866
55,4	0,004	0,004	10,866
55,5	0,006	-0,004	11,024
55,6	0,007	0,004	11,024
55,7	0,007	0,004	11,024
55,8	0,006	-0,004	11,024
55,9	0,005	-0,004	11,024
56,0	0,005	-0,004	11,024
56,1	0,006	0,004	11,024
56,2	0,006	0,004	11,024
56,3	0,006	-0,004	10,866
56,4	0,005	-0,004	10,866
56,5	0,005	0,004	10,866
56,6	0,005	-0,004	10,866
56,7	0,006	0,004	10,866
56,8	0,006	0,004	11,024
56,9	0,006	-0,004	11,024
57,0	0,005	-0,004	11,024
57,1	0,005	-0,004	11,024
57,2	0,005	-0,004	11,024
57,3	0,006	0,004	11,024
57,4	0,006	0,004	11,024
57,5	0,006	-0,004	11,024
57,6	0,005	-0,004	11,024
57,7	0,004	-0,004	11,024
57,8	0,005	-0,004	11,024
57,9	0,006	-0,004	11,024
58,0	0,006	0,004	11,024
58,1	0,005	0,004	11,024
58,2	0,005	0,004	11,024
58,3	0,005	0,004	11,024
58,4	0,006	-0,004	11,024
58,5	0,007	-0,004	11,024
58,6	0,006	0,004	11,024
58,7	0,004	-0,004	11,024
58,8	0,004	-0,004	11,024
58,9	0,014	-0,012	11,024
59,0	0,040	0,012	11,024
59,1	0,083	0,083	11,024
59,2	0,140	0,051	11,024
59,3	0,205	-0,146	11,024
59,4	0,268	-0,248	11,181
59,5	0,321	0,004	11,024
59,6	0,356	0,327	11,024
59,7	0,369	0,272	11,181
59,8	0,358	-0,098	11,181
59,9	0,324	-0,319	11,024
60,0	0,276	-0,185	11,024
